ClientDBName,SnapshotDate,ModuleName,SubModuleName,InScopeCount,SubmittedCount,SubmissionRate,SubmissionsDelta
AssentDataacist,2025-02-09,EU REACH SVHC,(01/2025),3854,0,0%,NULL
AssentDataacist,2025-02-16,EU REACH SVHC,(01/2025),3854,0,0%,0
AssentDataacist,2025-02-23,EU REACH SVHC,(01/2025),3854,0,0%,0
AssentDataacist,2025-03-02,EU REACH SVHC,(01/2025),3854,0,0%,0
AssentDataacist,2025-03-09,EU REACH SVHC,(01/2025),3854,9,0.2%,9
AssentDataacist,2025-03-16,EU REACH SVHC,(01/2025),3854,13,0.3%,4
AssentDataacist,2025-03-23,EU REACH SVHC,(01/2025),3854,105,2.7%,92
AssentDataacist,2025-03-30,EU REACH SVHC,(01/2025),3854,105,2.7%,0
AssentDataacist,2025-04-06,EU REACH SVHC,(01/2025),3854,116,3%,11
AssentDataacist,2025-04-13,EU REACH SVHC,(01/2025),3875,250,6.5%,134
AssentDataacist,2025-04-20,EU REACH SVHC,(01/2025),3875,308,7.9%,58
AssentDataacist,2025-04-27,EU REACH SVHC,(01/2025),3885,387,10%,79
AssentDataacist,2025-05-04,EU REACH SVHC,(01/2025),3971,696,17.5%,309
AssentDataacist,2025-05-11,EU REACH SVHC,(01/2025),3971,828,20.9%,132
AssentDataacist,2025-05-18,EU REACH SVHC,(01/2025),3971,868,21.9%,40
AssentDataacist,2025-05-25,EU REACH SVHC,(01/2025),3971,930,23.4%,62
AssentDataacist,2025-06-01,EU REACH SVHC,(01/2025),3971,1138,28.7%,208
AssentDataacist,2025-06-08,EU REACH SVHC,(01/2025),3971,1191,30%,53
AssentDataacist,2025-06-15,EU REACH SVHC,(01/2025),3971,1202,30.3%,11
AssentDataacist,2025-06-22,EU REACH SVHC,(01/2025),3971,1243,31.3%,41
AssentDataacist,2025-06-29,EU REACH SVHC,(01/2025),3971,1320,33.2%,77
AssentDataacist,2025-07-06,EU REACH SVHC,(01/2025),3971,1335,33.6%,15
AssentDataacist,2025-07-13,EU REACH SVHC,(01/2025),3971,1462,36.8%,127
AssentDataacist,2025-07-20,EU REACH SVHC,(01/2025),3986,1576,39.5%,114
AssentDataacist,2025-07-27,EU REACH SVHC,(01/2025),3986,1630,40.9%,54
AssentDataacist,2025-08-03,EU REACH SVHC,(01/2025),3986,1633,41%,3
AssentDataacist,2025-08-10,EU REACH SVHC,(01/2025),3986,1635,41%,2
AssentDataacist,2025-08-17,EU REACH SVHC,(01/2025),3986,1851,46.4%,216
AssentDataacist,2025-08-24,EU REACH SVHC,(01/2025),3986,1862,46.7%,11
AssentDataacist,2025-08-31,EU REACH SVHC,(01/2025),3926,1869,47.6%,7
AssentDataacist,2025-09-07,EU REACH SVHC,(01/2025),3928,1885,48%,16
AssentDataacist,2025-09-14,EU REACH SVHC,(01/2025),3931,1907,48.5%,22
AssentDataacist,2025-09-21,EU REACH SVHC,(01/2025),3923,1919,48.9%,12
AssentDataacist,2025-09-28,EU REACH SVHC,(01/2025),3930,1935,49.2%,16
AssentDataacist,2025-10-05,EU REACH SVHC,(01/2025),3927,1969,50.1%,34
AssentDataacist,2025-10-12,EU REACH SVHC,(01/2025),3925,1985,50.6%,16
AssentDataacist,2025-10-19,EU REACH SVHC,(01/2025),3925,1990,50.7%,5
AssentDataacist,2025-10-26,EU REACH SVHC,(01/2025),3924,1990,50.7%,0
AssentDataacist,2025-11-02,EU REACH SVHC,(01/2025),3921,2012,51.3%,22
AssentDataacist,2025-11-09,EU REACH SVHC,(01/2025),3928,2013,51.2%,1
AssentDataacist,2025-11-16,EU REACH SVHC,(01/2025),3928,2026,51.6%,13
AssentDataacist,2025-11-23,EU REACH SVHC,(01/2025),3923,2029,51.7%,3
AssentDataacist,2025-11-30,EU REACH SVHC,(01/2025),3930,2026,51.6%,-3
AssentDataacist,2025-12-07,EU REACH SVHC,(01/2025),3929,2022,51.5%,-4
AssentDataacist,2025-12-14,EU REACH SVHC,(01/2025),4216,2052,48.7%,30
AssentDataacist,2025-12-21,EU REACH SVHC,(01/2025),4218,2299,54.5%,247
AssentDataacist,2025-12-28,EU REACH SVHC,(01/2025),4213,2312,54.9%,13
